11-28 14:24:57: Training starting...
Episode 182: Reward: 14.00, Epsilon: 0.3996, k: 243.6000, Noise Penalty Scale: 0.1000
Episode 183: Reward: 15.00, Epsilon: 0.3976, k: 244.6000, Noise Penalty Scale: 0.1000
Episode 184: Reward: 18.00, Epsilon: 0.3956, k: 245.8000, Noise Penalty Scale: 0.1000
Episode 185: Reward: 10.00, Epsilon: 0.3936, k: 246.4667, Noise Penalty Scale: 0.1000
Episode 186: Reward: 19.00, Epsilon: 0.3917, k: 247.7333, Noise Penalty Scale: 0.1000
Episode 187: Reward: 25.00, Epsilon: 0.3897, k: 249.4000, Noise Penalty Scale: 0.1000
Episode 188: Reward: 10.00, Epsilon: 0.3878, k: 250.0667, Noise Penalty Scale: 0.1000
Episode 189: Reward: 15.00, Epsilon: 0.3858, k: 251.0667, Noise Penalty Scale: 0.1000
Episode 190: Reward: 9.00, Epsilon: 0.3839, k: 251.6667, Noise Penalty Scale: 0.1000
Episode 191: Reward: 10.00, Epsilon: 0.3820, k: 252.3333, Noise Penalty Scale: 0.1000
Episode 192: Reward: 14.00, Epsilon: 0.3801, k: 253.2667, Noise Penalty Scale: 0.1000
Episode 193: Reward: 14.00, Epsilon: 0.3782, k: 254.2000, Noise Penalty Scale: 0.1000
Episode 194: Reward: 19.00, Epsilon: 0.3763, k: 255.4667, Noise Penalty Scale: 0.1000
Episode 195: Reward: 14.00, Epsilon: 0.3744, k: 256.4000, Noise Penalty Scale: 0.1000
Episode 196: Reward: 17.00, Epsilon: 0.3725, k: 257.5333, Noise Penalty Scale: 0.1000
Episode 197: Reward: 13.00, Epsilon: 0.3707, k: 258.4000, Noise Penalty Scale: 0.1000
Episode 198: Reward: 10.00, Epsilon: 0.3688, k: 259.0667, Noise Penalty Scale: 0.1000
Episode 199: Reward: 26.00, Epsilon: 0.3670, k: 260.8000, Noise Penalty Scale: 0.1000
Episode 200: Reward: 9.00, Epsilon: 0.3651, k: 261.4000, Noise Penalty Scale: 0.1000
Episode 201: Reward: 13.00, Epsilon: 0.3633, k: 262.2667, Noise Penalty Scale: 0.1000
Episode 202: Reward: 17.00, Epsilon: 0.3615, k: 263.4000, Noise Penalty Scale: 0.1000
Episode 203: Reward: 9.00, Epsilon: 0.3597, k: 264.0000, Noise Penalty Scale: 0.1000
Episode 204: Reward: 13.00, Epsilon: 0.3579, k: 264.8667, Noise Penalty Scale: 0.1000
Episode 205: Reward: 19.00, Epsilon: 0.3561, k: 266.1333, Noise Penalty Scale: 0.1000
Episode 206: Reward: 10.00, Epsilon: 0.3543, k: 266.8000, Noise Penalty Scale: 0.1000
Episode 207: Reward: 11.00, Epsilon: 0.3525, k: 267.5333, Noise Penalty Scale: 0.1000
Episode 208: Reward: 11.00, Epsilon: 0.3508, k: 268.2667, Noise Penalty Scale: 0.1000
Episode 209: Reward: 11.00, Epsilon: 0.3490, k: 269.0000, Noise Penalty Scale: 0.1000
Episode 210: Reward: 10.00, Epsilon: 0.3473, k: 269.6667, Noise Penalty Scale: 0.1000
Episode 211: Reward: 10.00, Epsilon: 0.3455, k: 270.3333, Noise Penalty Scale: 0.1000
Episode 212: Reward: 11.00, Epsilon: 0.3438, k: 271.0667, Noise Penalty Scale: 0.1000
Episode 213: Reward: 24.00, Epsilon: 0.3421, k: 272.6667, Noise Penalty Scale: 0.1000
Episode 214: Reward: 12.00, Epsilon: 0.3404, k: 273.4667, Noise Penalty Scale: 0.1000
Episode 215: Reward: 11.00, Epsilon: 0.3387, k: 274.2000, Noise Penalty Scale: 0.1000
Episode 216: Reward: 9.00, Epsilon: 0.3370, k: 274.8000, Noise Penalty Scale: 0.1000
Episode 217: Reward: 14.00, Epsilon: 0.3353, k: 275.7333, Noise Penalty Scale: 0.1000
Episode 218: Reward: 11.00, Epsilon: 0.3336, k: 276.4667, Noise Penalty Scale: 0.1000
Episode 219: Reward: 13.00, Epsilon: 0.3320, k: 277.3333, Noise Penalty Scale: 0.1000
Episode 220: Reward: 13.00, Epsilon: 0.3303, k: 278.2000, Noise Penalty Scale: 0.1000
Episode 221: Reward: 15.00, Epsilon: 0.3286, k: 279.2000, Noise Penalty Scale: 0.1000
Episode 222: Reward: 11.00, Epsilon: 0.3270, k: 279.9333, Noise Penalty Scale: 0.1000
Episode 223: Reward: 12.00, Epsilon: 0.3254, k: 280.7333, Noise Penalty Scale: 0.1000
Episode 224: Reward: 11.00, Epsilon: 0.3237, k: 281.4667, Noise Penalty Scale: 0.1000
Episode 225: Reward: 15.00, Epsilon: 0.3221, k: 282.4667, Noise Penalty Scale: 0.1000
Episode 226: Reward: 10.00, Epsilon: 0.3205, k: 283.1333, Noise Penalty Scale: 0.1000
Episode 227: Reward: 17.00, Epsilon: 0.3189, k: 284.2667, Noise Penalty Scale: 0.1000
Episode 228: Reward: 13.00, Epsilon: 0.3173, k: 285.1333, Noise Penalty Scale: 0.1000
Episode 229: Reward: 16.00, Epsilon: 0.3157, k: 286.2000, Noise Penalty Scale: 0.1000
Episode 230: Reward: 13.00, Epsilon: 0.3141, k: 287.0667, Noise Penalty Scale: 0.1000
Episode 231: Reward: 11.00, Epsilon: 0.3126, k: 287.8000, Noise Penalty Scale: 0.1000
Episode 232: Reward: 17.00, Epsilon: 0.3110, k: 288.9333, Noise Penalty Scale: 0.1000
Episode 233: Reward: 10.00, Epsilon: 0.3095, k: 289.6000, Noise Penalty Scale: 0.1000
Episode 234: Reward: 14.00, Epsilon: 0.3079, k: 290.5333, Noise Penalty Scale: 0.1000
Episode 235: Reward: 14.00, Epsilon: 0.3064, k: 291.4667, Noise Penalty Scale: 0.1000
Episode 236: Reward: 13.00, Epsilon: 0.3048, k: 292.3333, Noise Penalty Scale: 0.1000
Episode 237: Reward: 14.00, Epsilon: 0.3033, k: 293.2667, Noise Penalty Scale: 0.1000
Episode 238: Reward: 13.00, Epsilon: 0.3018, k: 294.1333, Noise Penalty Scale: 0.1000
Episode 239: Reward: 12.00, Epsilon: 0.3003, k: 294.9333, Noise Penalty Scale: 0.1000
Episode 240: Reward: 13.00, Epsilon: 0.2988, k: 295.8000, Noise Penalty Scale: 0.1000
Episode 241: Reward: 17.00, Epsilon: 0.2973, k: 296.9333, Noise Penalty Scale: 0.1000
Episode 242: Reward: 17.00, Epsilon: 0.2958, k: 298.0667, Noise Penalty Scale: 0.1000
Episode 243: Reward: 9.00, Epsilon: 0.2943, k: 298.6667, Noise Penalty Scale: 0.1000
Episode 244: Reward: 9.00, Epsilon: 0.2929, k: 299.2667, Noise Penalty Scale: 0.1000
Episode 245: Reward: 11.00, Epsilon: 0.2914, k: 300.0000, Noise Penalty Scale: 0.1000
Episode 246: Reward: 13.00, Epsilon: 0.2899, k: 300.8667, Noise Penalty Scale: 0.1000
Episode 247: Reward: 12.00, Epsilon: 0.2885, k: 301.6667, Noise Penalty Scale: 0.1000
Episode 248: Reward: 10.00, Epsilon: 0.2870, k: 302.3333, Noise Penalty Scale: 0.1000
Episode 249: Reward: 14.00, Epsilon: 0.2856, k: 303.2667, Noise Penalty Scale: 0.1000
Episode 250: Reward: 14.00, Epsilon: 0.2842, k: 304.2000, Noise Penalty Scale: 0.1000
Episode 251: Reward: 13.00, Epsilon: 0.2828, k: 305.0667, Noise Penalty Scale: 0.1000
Episode 252: Reward: 15.00, Epsilon: 0.2813, k: 306.0667, Noise Penalty Scale: 0.1000
Episode 253: Reward: 10.00, Epsilon: 0.2799, k: 306.7333, Noise Penalty Scale: 0.1000
Episode 254: Reward: 14.00, Epsilon: 0.2785, k: 307.6667, Noise Penalty Scale: 0.1000
Episode 255: Reward: 15.00, Epsilon: 0.2771, k: 308.6667, Noise Penalty Scale: 0.1000
Episode 256: Reward: 11.00, Epsilon: 0.2758, k: 309.4000, Noise Penalty Scale: 0.1000
Episode 257: Reward: 12.00, Epsilon: 0.2744, k: 310.2000, Noise Penalty Scale: 0.1000
Episode 258: Reward: 13.00, Epsilon: 0.2730, k: 311.0667, Noise Penalty Scale: 0.1000
Episode 259: Reward: 12.00, Epsilon: 0.2716, k: 311.8667, Noise Penalty Scale: 0.1000
Episode 260: Reward: 15.00, Epsilon: 0.2703, k: 312.8667, Noise Penalty Scale: 0.1000
Episode 261: Reward: 12.00, Epsilon: 0.2689, k: 313.6667, Noise Penalty Scale: 0.1000
Episode 262: Reward: 11.00, Epsilon: 0.2676, k: 314.4000, Noise Penalty Scale: 0.1000
Episode 263: Reward: 15.00, Epsilon: 0.2663, k: 315.4000, Noise Penalty Scale: 0.1000
Episode 264: Reward: 12.00, Epsilon: 0.2649, k: 316.2000, Noise Penalty Scale: 0.1000
Episode 265: Reward: 23.00, Epsilon: 0.2636, k: 317.7333, Noise Penalty Scale: 0.1000
Episode 266: Reward: 20.00, Epsilon: 0.2623, k: 319.0667, Noise Penalty Scale: 0.1000
