11-28 01:17:15: Training starting...
Episode 220: Reward: 14.00, Epsilon: 0.3303, k: 0.5714, Noise Penalty Scale: 0.1000
Episode 221: Reward: 13.00, Epsilon: 0.3286, k: 0.4762, Noise Penalty Scale: 0.1000
Episode 222: Reward: 9.00, Epsilon: 0.3270, k: 0.0952, Noise Penalty Scale: 0.1000
Episode 223: Reward: 16.00, Epsilon: 0.3254, k: 0.7619, Noise Penalty Scale: 0.1000
Episode 224: Reward: 13.00, Epsilon: 0.3237, k: 0.4762, Noise Penalty Scale: 0.1000
Episode 225: Reward: 34.00, Epsilon: 0.3221, k: 2.4762, Noise Penalty Scale: 0.1000
Episode 226: Reward: 13.00, Epsilon: 0.3205, k: 0.4762, Noise Penalty Scale: 0.1000
Episode 227: Reward: 27.00, Epsilon: 0.3189, k: 1.8095, Noise Penalty Scale: 0.1000
Episode 228: Reward: 58.00, Epsilon: 0.3173, k: 4.7619, Noise Penalty Scale: 0.1000
Episode 229: Reward: 37.00, Epsilon: 0.3157, k: 2.7619, Noise Penalty Scale: 0.1000
Episode 230: Reward: 38.00, Epsilon: 0.3141, k: 2.8571, Noise Penalty Scale: 0.1000
Episode 231: Reward: 11.00, Epsilon: 0.3126, k: 0.2857, Noise Penalty Scale: 0.1000
Episode 232: Reward: 15.00, Epsilon: 0.3110, k: 0.6667, Noise Penalty Scale: 0.1000
Episode 233: Reward: 48.00, Epsilon: 0.3095, k: 3.8095, Noise Penalty Scale: 0.1000
Episode 234: Reward: 9.00, Epsilon: 0.3079, k: 0.0952, Noise Penalty Scale: 0.1000
Episode 235: Reward: 17.00, Epsilon: 0.3064, k: 0.8571, Noise Penalty Scale: 0.1000
Episode 236: Reward: 24.00, Epsilon: 0.3048, k: 1.5238, Noise Penalty Scale: 0.1000
Episode 237: Reward: 33.00, Epsilon: 0.3033, k: 2.3810, Noise Penalty Scale: 0.1000
Episode 238: Reward: 16.00, Epsilon: 0.3018, k: 0.7619, Noise Penalty Scale: 0.1000
Episode 239: Reward: 32.00, Epsilon: 0.3003, k: 2.2857, Noise Penalty Scale: 0.1000
Episode 240: Reward: 19.00, Epsilon: 0.2988, k: 1.0476, Noise Penalty Scale: 0.1000
Episode 241: Reward: 12.00, Epsilon: 0.2973, k: 0.3810, Noise Penalty Scale: 0.1000
Episode 242: Reward: 43.00, Epsilon: 0.2958, k: 3.3333, Noise Penalty Scale: 0.1000
Episode 243: Reward: 19.00, Epsilon: 0.2943, k: 1.0476, Noise Penalty Scale: 0.1000
